FeatureName     	   HashVal	MinVal	MaxVal	Weight	RelScore
honey           	     89454	0.30	1.00	-0.20	 -99.76
negativecalories	    121790	1.00	1.00	-0.20	 -97.10
hiit            	      3662	1.00	1.00	-0.16	 -79.42
cola            	     94430	1.00	1.00	-0.14	 -66.33
whisky          	    172574	1.00	1.00	-0.14	 -66.33
bakedcandy      	    209510	0.50	1.00	-0.12	 -60.99
cheescake       	    237390	1.00	1.00	-0.06	 -29.57
oatmeal         	    219142	1.00	1.00	-0.06	 -29.19
nutbutter       	       430	1.00	2.50	-0.06	 -27.87
whitecheese     	    152310	0.50	2.00	-0.04	 -18.65
weighttraining  	    254246	1.00	1.00	-0.03	 -16.98
rice            	    196990	1.00	1.00	-0.02	  -8.50
no_sleep        	    231294	1.00	1.00	-0.01	  -7.02
bread           	     28542	1.00	1.00	-0.01	  -3.05
whey            	    107022	1.00	1.00	-0.00	  -1.43
cycling         	    212854	1.00	3.00	-0.00	  -0.13
milletgroats    	    254022	1.00	1.00	0.02	   8.76
homebakedcandy  	    226958	0.20	2.00	0.02	   9.25
junkfood        	    125046	0.50	3.00	0.02	   9.74
cranberry       	    160182	1.00	1.00	0.02	  10.22
Constant        	    142054	1.00	1.00	0.02	  10.66
nuts            	    208278	0.50	1.00	0.02	  11.02
candy           	    197390	1.00	2.00	0.03	  12.43
kasha           	    190262	1.00	1.00	0.03	  13.60
pizza           	     17790	1.00	1.00	0.04	  17.55
icecreams       	    216358	1.00	2.00	0.04	  21.53
wine            	    223614	1.00	2.00	0.05	  23.56
sleep           	     63534	1.00	1.00	0.05	  26.80
chocolate       	    123382	1.00	1.00	0.07	  35.58
eatingout       	    105542	0.30	2.00	0.13	  62.47
beer            	    236982	0.30	2.00	0.14	  70.85
avocado         	    245334	1.00	1.00	0.15	  71.92
pasta           	    154454	1.00	1.00	0.15	  73.79
colazero        	    185278	0.50	1.00	0.17	  81.49
oliveoil        	    209486	1.00	1.00	0.20	  98.51
burgers         	    152854	1.00	1.00	0.20	 100.00
